Name,Critical_Volume,Critical_vol_unit,Boiling_point,Boiling_point_unit
Formaldehyde,0.115,m3/kmol,254.05,K
Methyl chloride,0.143,m3/kmol,248.95,K
Methyl iodide,0.185,m3/kmol,315.58,K
Methane,0.0986,m3/kmol,111.66,K
Methanol,0.118,m3/kmol,337.69,K
Methylamine,0.125,m3/kmol,266.82,K
Trichloroethylene,0.256,m3/kmol,360.1,K
Dichloroacetyl chloride,0.283,m3/kmol,380.45,K
Trichloroacetaldehyde,0.288,m3/kmol,370.85,K
Acetylene,0.1122,m3/kmol,188.4,K
Dichloroacetaldehyde,0.239,m3/kmol,362,K
Vinyl chloride,0.179,m3/kmol,259.25,K
Acetyl chloride,0.196,m3/kmol,323.9,K
"1,1,2-trichloroethane",0.281,m3/kmol,387,K
Acetonitrile,0.173,m3/kmol,354.75,K
Ethylene,0.1311,m3/kmol,169.42,K
"1,1-dichloroethane",0.236,m3/kmol,330.45,K
"1,2-dichloroethane",0.22,m3/kmol,356.66,K
Acetaldehyde,0.154,m3/kmol,294,K
Ethylene oxide,0.140296,m3/kmol,283.6,K
Acetic acid,0.171,m3/kmol,391.04,K
Methyl formate,0.172,m3/kmol,304.9,K
Ethyl chloride,0.199,m3/kmol,285.42,K
Ethane,0.1455,m3/kmol,184.55,K
Ethanol,0.167,m3/kmol,351.8,K
Dimethyl ether,0.17,m3/kmol,248.31,K
Ethylene glycol,0.191,m3/kmol,470.45,K
Dimethyl sulfide,0.201,m3/kmol,310.48,K
Ethyl mercaptan,0.207,m3/kmol,308.15,K
Ethylamine,0.1818,m3/kmol,289.75,K
Acrylonitrile,0.212,m3/kmol,350.5,K
Methylacetylene,0.1635,m3/kmol,250.12,K
Propadiene,0.1739,m3/kmol,238.77,K
Propylene,0.185,m3/kmol,225.45,K
Acetone,0.209,m3/kmol,329.22,K
Ethyl formate,0.229,m3/kmol,327.47,K
Methyl acetate,0.228,m3/kmol,330.09,K
Propionic acid,0.233,m3/kmol,414.31,K
"N,n-dimethylformamide",0.26199,m3/kmol,425.15,K
Propane,0.2,m3/kmol,231.02,K
Isopropanol,0.22,m3/kmol,355.39,K
1-propanol,0.219,m3/kmol,370.93,K
Trimethylamine,0.254,m3/kmol,276.02,K
Vinylacetylene,0.205,m3/kmol,278.25,K
Thiophene,0.219,m3/kmol,357.31,K
Methacrylonitrile,0.265,m3/kmol,363.45,K
Dimethylacetylene,0.221,m3/kmol,300.13,K
Ethylacetylene,0.208,m3/kmol,281.21,K
"1,2-butadiene",0.22,m3/kmol,284,K
"1,3-butadiene",0.221,m3/kmol,268.62,K
1-butene,0.2408,m3/kmol,266.92,K
Cis-2-butene,0.2338,m3/kmol,276.87,K
Trans-2-butene,0.2377,m3/kmol,274.03,K
Isobutene,0.2388,m3/kmol,266.24,K
2-methylpropanal,0.263,m3/kmol,337.25,K
Methyl ethyl ketone,0.267,m3/kmol,352.71,K
Tetrahydrofuran,0.224,m3/kmol,339.12,K
"1,4-dioxane",0.238,m3/kmol,374.5,K
N-butyric acid,0.292,m3/kmol,436.87,K
Ethyl acetate,0.286,m3/kmol,350.21,K
Methyl propionate,0.282,m3/kmol,352.6,K
N-propyl formate,0.285,m3/kmol,354.69,K
Sulfolane,0.3365,m3/kmol,560.45,K
"N,n-dimethylacetamide",0.321,m3/kmol,439.25,K
N-butane,0.255,m3/kmol,272.66,K
Isobutane,0.2627,m3/kmol,261.34,K
1-butanol,0.275,m3/kmol,390.88,K
2-methyl-1-propanol,0.273,m3/kmol,381.04,K
2-butanol,0.269,m3/kmol,372.66,K
2-methyl-2-propanol,0.275,m3/kmol,355.49,K
Diethyl ether,0.28,m3/kmol,307.59,K
Diethylene glycol,0.312,m3/kmol,517.95,K
Diethylamine,0.301,m3/kmol,328.6,K
Furfural,0.252,m3/kmol,434.85,K
Pyridine,0.254,m3/kmol,388.37,K
Isoprene,0.276,m3/kmol,307.205,K
Cyclopentane,0.26,m3/kmol,322.38,K
2-methyl-1-butene,0.292,m3/kmol,304.305,K
3-methyl-1-butene,0.3049,m3/kmol,293.21,K
2-methyl-2-butene,0.292,m3/kmol,311.7,K
1-pentene,0.2984,m3/kmol,303.11,K
Cis-2-pentene,0.3021,m3/kmol,310.07,K
Trans-2-pentene,0.293,m3/kmol,309.49,K
3-pentanone,0.336,m3/kmol,375.14,K
Methyl isopropyl ketone,0.31,m3/kmol,367.55,K
N-propyl acetate,0.345,m3/kmol,374.65,K
Isopentane,0.3083,m3/kmol,300.99,K
N-pentane,0.311,m3/kmol,309.22,K
Neopentane,0.3032,m3/kmol,282.65,K
"1,2,4-trichlorobenzene",0.395,m3/kmol,486.15,K
M-dichlorobenzene,0.351,m3/kmol,446.23,K
O-dichlorobenzene,0.351,m3/kmol,453.57,K
P-dichlorobenzene,0.351,m3/kmol,447.21,K
Bromobenzene,0.324,m3/kmol,429.236,K
Monochlorobenzene,0.308,m3/kmol,404.91,K
Iodobenzene,0.351,m3/kmol,461.6,K
Nitrobenzene,0.349,m3/kmol,483.95,K
Benzene,0.256,m3/kmol,353.24,K
Phenol,0.229,m3/kmol,455.04,K
Aniline,0.2739,m3/kmol,457.17,K
Cyclohexanone,0.311,m3/kmol,428.58,K
Cyclohexane,0.308,m3/kmol,353.93,K
1-hexene,0.3551,m3/kmol,336.63,K
Methylcyclopentane,0.319,m3/kmol,344.98,K
Cyclohexanol,0.322,m3/kmol,434,K
"2,2-dimethylbutane",0.3591,m3/kmol,322.87,K
"2,3-dimethylbutane",0.3576,m3/kmol,331.12,K
N-hexane,0.368,m3/kmol,341.88,K
2-methylpentane,0.3667,m3/kmol,333.4,K
3-methylpentane,0.3667,m3/kmol,336.4,K
Triethylene glycol,0.443,m3/kmol,561.5,K
Triethylamine,0.39,m3/kmol,362.9,K
